Vardas         Pavarde        nd1  nd2  nd3  nd4  nd5  nd6  nd7  nd8  nd9  nd10 Egz. 
Vardas1        Pavarde1       3    0    5    9    2    2    0    4    0    7    4    
Vardas10       Pavarde10      0    4    2    5    7    5    6    9    2    8    3    
Vardas100      Pavarde100     10   8    0    4    7    2    1    1    1    1    8    
Vardas1000     Pavarde1000    6    2    10   9    3    2    4    5    0    8    5    
Vardas101      Pavarde101     9    6    3    5    4    2    3    6    2    8    1    
Vardas102      Pavarde102     6    9    1    4    5    4    5    3    10   9    0    
Vardas103      Pavarde103     7    0    2    2    8    6    2    5    4    10   9    
Vardas104      Pavarde104     2    5    10   9    6    1    7    8    3    7    2    
Vardas105      Pavarde105     1    5    9    5    6    1    2    10   0    9    6    
Vardas106      Pavarde106     9    2    10   8    2    7    8    9    4    8    9    
Vardas107      Pavarde107     8    4    5    7    3    10   1    2    10   9    10   
Vardas108      Pavarde108     0    3    1    10   0    4    9    7    2    7    9    
Vardas109      Pavarde109     10   0    4    10   2    4    9    10   5    9    6    
Vardas11       Pavarde11      4    5    2    6    7    2    9    10   10   6    7    
Vardas110      Pavarde110     7    6    4    1    1    7    10   7    8    7    7    
Vardas111      Pavarde111     0    5    2    4    4    4    9    2    4    1    2    
Vardas112      Pavarde112     4    8    0    3    9    2    6    5    5    0    0    
Vardas113      Pavarde113     1    1    1    6    2    1    3    9    7    4    10   
Vardas114      Pavarde114     5    2    2    6    6    1    1    8    2    0    5    
Vardas115      Pavarde115     8    4    9    0    0    9    0    9    5    3    10   
Vardas116      Pavarde116     9    9    3    5    6    4    4    1    10   9    2    
Vardas117      Pavarde117     5    0    1    10   10   1    0    8    2    2    0    
Vardas118      Pavarde118     3    3    5    5    6    8    8    3    2    8    9    
Vardas119      Pavarde119     5    2    7    3    3    2    8    8    5    4    10   
Vardas12       Pavarde12      9    7    8    9    3    9    6    9    3    0    6    
Vardas120      Pavarde120     4    8    10   7    0    6    6    8    7    4    4    
Vardas121      Pavarde121     8    5    5    3    0    0    1    9    7    8    7    
Vardas122      Pavarde122     2    7    6    5    9    0    8    9    6    10   6    
Vardas123      Pavarde123     1    10   5    10   1    5    6    7    9    4    1    
Vardas124      Pavarde124     8    3    3    8    1    3    6    4    8    9    0    
Vardas125      Pavarde125     9    5    0    7    9    2    7    10   6    2    1    
